

email_content,label
"Congratulations! You've won a free iPhone! Click here to claim.",1
"Urgent: Your bank account has been locked. Verify now.",1
"Please see the attached invoice for your records.",0
"Let's have lunch tomorrow and go over the Q2 numbers.",0
"Your Netflix account has been suspended. Update payment info.",1
"Hi John, the client meeting is scheduled for 3 PM.",0
"Update your Apple ID to avoid termination.",1
"Monthly performance report attached. Good job!",0
"Security alert! Unusual login attempt detected.",1
"Re: team offsite on Friday. RSVP by tomorrow.",0
"Reset your password immediately.",1
"Annual budget draft available for review.",0
"Win a $1000 gift card now!",1
"HR policy updates attached. Acknowledge receipt.",0
"Unauthorized login attempt from a new device.",1
"Reminder: Project deadline extended to next week.",0
